"id","team","wiki","region","country","track","kind","section","application","year"
3463,"Grenoble_Alpes","https://2020.igem.org/Team:Grenoble_Alpes","europe","FRA","Therapeutics","collegiate","undergrad","accepted",2020
3507,"Groningen","https://2020.igem.org/Team:Groningen","europe","NLD","Food & Nutrition","collegiate","overgrad","accepted",2020
3640,"Guangzhou_Huafu","https://2020.igem.org/Team:Guangzhou_Huafu","asia","CHN","High School","high-school","high-school","deleted",2020
3557,"Guelph","https://2020.igem.org/Team:Guelph","north-america","CAN",,"collegiate","collegiate","deleted",2020
3659,"GunnVistaPingry_US","https://2020.igem.org/Team:GunnVistaPingry_US","north-america","USA","High School","high-school","high-school","accepted",2020
3618,"GW_DC","https://2020.igem.org/Team:GW_DC","north-america","USA","Environment","collegiate","overgrad","accepted",2020
3595,"GZ_HFI","https://2020.igem.org/Team:GZ_HFI","asia","CHN","High School","high-school","high-school","accepted",2020
3459,"GZHS-United","https://2020.igem.org/Team:GZHS-United","asia","CHN","High School","high-school","high-school","deleted",2020
3529,"H14z-Transbalance","https://2020.igem.org/Team:H14z-Transbalance","asia","CHN",,"collegiate","collegiate","deleted",2020
3622,"Hainan_China","https://2020.igem.org/Team:Hainan_China","asia","CHN","High School","high-school","high-school","accepted",2020
3362,"Hamburg","https://2020.igem.org/Team:Hamburg","europe","DEU","Food & Nutrition","collegiate","overgrad","accepted",2020
3548,"HangzhouNo14","https://2020.igem.org/Team:HangzhouNo14","asia","CHN","High School","high-school","high-school","deleted",2020
3338,"Hannover","https://2020.igem.org/Team:Hannover","europe","DEU","Diagnostics","collegiate","overgrad","accepted",2020
3677,"Harvard","https://2020.igem.org/Team:Harvard","north-america","USA","Therapeutics","collegiate","undergrad","accepted",2020
3657,"Heidelberg","https://2020.igem.org/Team:Heidelberg","europe","DEU","Foundational Advance","collegiate","overgrad","accepted",2020
3540,"HFTH-China","https://2020.igem.org/Team:HFTH-China","asia","CHN","High School","high-school","high-school","deleted",2020
